CALWR_WQX-KA000331,8
CALWR_WQX-KA000331,0
CALWR_WQX-KA017226,322
CALWR_WQX-B9D81481421,26
CALWR_WQX-B9D81481421,28
CALWR_WQX-SL005000,244
CALWR_WQX-A0922000,198
CALWR_WQX-KA030341,277
CALWR_WQX-KB001638,12
CALWR_WQX-B9D81561483,32
CALWR_WQX-B9D81561483,29
CALWR_WQX-KA030341,0
CALWR_WQX-B9D81561483,14
CALWR_WQX-B9D81811521,43
CALWR_WQX-KA007089,365
CALWR_WQX-SL005000,243
CALWR_WQX-DMC06716,321
CALWR_WQX-KB001638,4
CALWR_WQX-A0922000,252
CALWR_WQX-KA041288,209
CALWR_WQX-A0922000,97
CALWR_WQX-KG000000,10
CALWR_WQX-KA017226,0
CALWR_WQX-B9D81811521,33
CALWR_WQX-KA017226,10
CALWR_WQX-B9D81811521,41
CALWR_WQX-B9D81811521,46
WREQC_WQX-1,028,8
WREQC_WQX-219,8
USGS-383600079193001,99
USGS-332409101495706,2298
USGS-332409101495700,1145
USGS-332409101495702,1211
USGS-332409101495705,1565
USGS-332409101495704,2323
USGS-332409101495700,1129
USGS-332409101495703,1178
USGS-332409101495704,1499
USGS-332409101495705,1252
USGS-332409101495701,1252
USGS-332409101495701,1145
USGS-332409101495701,1120
USGS-332409101495704,1211
USGS-332409101495702,1153
USGS-332409101495703,1219
USGS-332409101495705,1771
USGS-332409101495703,1096
USGS-332409101495704,1318
USGS-332409101495706,1985
USGS-332409101495703,857
USGS-332409101495703,1236
USGS-332409101495703,1178
USGS-332409101495703,1219
USGS-332409101495704,1524
USGS-332409101495700,1153
USGS-332409101495701,1104
USGS-332409101495702,1129
USGS-332409101495703,1186
USGS-332409101495704,1252
USGS-332409101495705,1993
USGS-332409101495703,1186
USGS-332409101495703,1161
USGS-332409101495706,2216
USGS-332409101495702,1236
USGS-332409101495706,1557
USGS-332409101495705,1244
USGS-332409101495706,1862
USGS-332409101495705,1952
USGS-332409101495702,1120
USGS-332409101495703,939
USGS-332409101495706,2323
USGS-332409101495704,1211
USGS-332409101495702,1161
USGS-332409101495704,1771
USGS-332409101495701,1236
USGS-332409101495702,1236
USGS-332409101495700,1120
USGS-332409101495706,1252
USGS-332409101495702,1153
USGS-332409101495703,1186
USGS-332409101495701,1269
USGS-332409101495702,1129
USGS-332409101495701,1211
USGS-332409101495701,1252
USGS-332409101495706,2183
USGS-332409101495701,1104
USGS-332409101495702,1203
USGS-332409101495702,1145
USGS-332409101495700,1153
USGS-332409101495704,2331
USGS-332409101495703,1087
USGS-332409101495703,1903
